实体,出现次数
priority boosting,3
Nexbox,3
MDM9615,3
B.A.T.M.A.N.,3
ctime,3
sched/cls_flower,3
diag interface,3
administrator,3
primitives,3
external metadata,3
write back,3
memory nodes,3
free lists,3
buffer cache,3
umask,3
soc_common,3
max77802,3
lp873x,3
General Purpose I/O (gpio),3
hardware watchdog,3
Hauppauge WinTV,3
GPIO lines,3
future chips,3
dp83848,3
air sniffer,3
USB gadget,3
CZ/ST,3
XZ compression,3
DEBUG_PAGEALLOC,3
Berkeley Packet Filter,3
Berkeley,3
performance events,3
netlink attributes,3
casting,3
advisory,3
blacklisting,3
FIEMAP,3
RENAME_WHITEOUT,3
Broadcom NSP,3
rk3228,3
generic_buffer,3
Video Encoder,3
Video Encoder Driver,3
cec support,3
NetUP,3
Universal,3
tas571x,3
driver caps,3
pci=firmware,3
LG Electronics,3
IP checksum,3
idle driver,3
GSO support,3
local addresses,3
L3 master device,3
RDMA transport,3
user mode linux,3
FILE,3
max-stack,3
reshaping,3
irqchips,3
OCRAM ECC,3
L2 Cache,3
omap-gpmc,3
Direct Memory Access,3
mps2,3
Broadcom Vulcan,3
mounting matrix,3
version 2.0,3
pic32,3
Adaptec,3
Elgato,3
EyeTV,3
keyboard driver,3
multichannel support,3
generic Tx checksums,3
Config,3
LCD support,3
rk3368,3
NUMA support,3
RealView,3
realview,3
Oxford,3
listeners,3
foo-over-UDP,3
Generic Segmentation,3
P2P GO,3
fast-xmit,3
save/restore,3
sort keys,3
bpf-output,3
default policy,3
working set,3
CLONE,3
unmount,3
Qualcomm Technologies,3
thunder,3
Host Controller,3
dm814x,3
tps65912,3
TPS65912,3
mport removal,3
direct mapping,3
thermometer,3
tri-planar,3
rcar_vin,3
rocker,3
firmware dump,3
Staging,3
double-pixel,3
GM20B,3
NVidia,3
CPU feature,3
masquerading,3
config terms,3
terms,3
norecovery,3
CPU hotplugging,3
revamp,3
distributions,3
Futex,3
autoconf,3
backend driver,3
form,3
defragment,3
expedited,3
jumbo frame support,3
Very High Throughput,3
NFLOG,3
fdb entries,3
VMware balloon,3
IOAPIC,3
zoom,3
atime,3
Carrizo,3
Sunrisepoint,3
Intel Sunrisepoint,3
adis16400,3
cpu id,3
iTCO_wdt,3
EV-DO,3
Remote,3
hardware accelerated,3
FUJITSU,3
ARCv2,3
Pandora,3
IPv4/IPv6,3
sysctl option,3
virtual interfaces,3
dm stats,3
dirty page,3
inode allocation,3
compat_ioctl,3
/proc/sched_debug,3
user-mode linux,3
RAID 6,3
Length,3
security label,3
SELinux context,3
/dev/mem,3
ZERO_PAGE,3
XATTR,3
XATTR support,3
sunrpc,3
receive offload,3
address selection,3
file backed pages,3
BUG(),3
igmp,3
SEEK,3
nilfs2,3
--percentage option,3
UDP/IPv6,3
rebuild,3
function trace events,3
RxRPC,3
socket info,3
nf_nat,3
port randomization,3
dry-run,3
function graph,3
loginuid,3
CAP_AUDIT_CONTROL,3
userspace program,3
Value,3
IPsec tunnel,3
sham,3
Pstore,3
function probe,3
ftrace dump,3
SHA-224,3
NCI over SPI,3
generic netlink,3
9P2000.L,3
MAP_HUGETLB,3
--group option,3
grouping,3
--group,3
camellia,3
latest release,3
RFKILL,3
RFC3168,3
northbridge,3
Xen ACPI,3
userns root,3
session keyring,3
Camellia,3
SYSV IPC,3
root filesystem,3
x86_64/avx,3
x86_64/avx assembler implementation,3
MTD device,3
Read-Copy-Update,3
Hardware acceleration,3
boot-time parameter,3
fallocate(),3
reshape,3
swap token,3
ipt_LOG,3
dcache,3
balance_dirty_pages,3
per-zone,3
proc filesystem,3
communications,3
rsize,3
distros,3
reverse-mapping,3
POSIX timers,3
OMAP2/3,3
device handling,3
9p2000.L,3
kmemtrace,3
ftrace plugin,3
Squashfs,3
VFS locking changes,3
Nick Piggin's VFS scalability patchset,3
Nick Piggin,3
VFS scalability,3
Rate-limit,3
Raid4,3
crypto code,3
menuconfig,3
mc13783,3
Hilscher,3
netX,3
SMBus alert,3
Cougar Point,3
beep,3
fan speed control,3
applesmc,3
ALC269,3
serial ports,3
CAPI,3
mwl8k,3
DeviceIDs,3
SATA AHCI,3
IDE Mode,3
pata_atiixp,3
r5xx,3
pmac,3
DB1200,3
NUC900,3
IGEP v2,3
IGEP,3
platform code,3
Linkstation,3
ADP5520/ADP5501,3
ADP5520/ADP5501 MFD PMICs,3
twl6030,3
MFGPT,3
Freescale MC13783,3
National Semiconductor,3
Tevii,3
pac7311,3
DVB-T card,3
WM8580,3
serial touchscreen,3
driver stack,3
MX27,3
MX31,3
Autosuspend,3
DM9000,3
iwmc3200wifi,3
MTD driver,3
mpc52xx,3
SAS/SATA,3
3ware,3
sata_fsl,3
ATNGW100,3
SH-X3,3
SH Support,3
power management support,3
OSIRIS,3
OMAP-L137,3
MMC/SD,3
Omap1,3
Dream,3
Config option,3
quota format,3
Twinhan,3
Penryn,3
ERTM,3
btusb driver,3
Prolink,3
USB Stick,3
header file,3
DTV2000H,3
rt2870,3
ioctl support,3
pata_rdc,3
Zoom2,3
board driver,3
Audiotrak,3
HD audio,3
Opencores,3
sierra,3
FTDI,3
rfkill support,3
fb support,3
Framebuffer,3
Gumstix,3
oprofile support,3
zImage support,3
atmel-mci,3
PL061,3
gpiolib support,3
AT91SAM9260,3
Frequency scaling,3
Frequency,3
digest algorithm,3
irq handling,3
jedec,3
tveeprom,3
dibcom driver,3
m5602,3
AFEB9260,3
Sony Vaio,3
W90p910,3
checksum offloading,3
iwl3945,3
PCI cards,3
mpt fusion,3
ibmvscsi,3
IGDNG,3
MTU2,3
avr32,3
Sparc64,3
MPC8610HPCD,3
i.MX31,3
littleton,3
iPAQ,3
PalmLD,3
IDE support,3
Error Reporting,3
SG_IO,3
function profiler,3
ramdisk,3
card-detection,3
opticon,3
CE6230,3
zl10353,3
e740,3
e800,3
notebook,3
SEGA Dreamcast,3
SEGA,3
rt2500usb,3
Fanuc,3
MPC837x,3
Randomise,3
Wolfson Microelectronics,3
Voyager,3
data=writeback,3
Suspend/Resume,3
extras,3
On-Chip,3
autoresume,3
Creatix,3
Pixelview,3
video output,3
oxygen,3
Fujitsu-Siemens,3
lifebook,3
Mesh Point,3
SAM9,3
SH-5,3
SBC610,3
GE Fanuc SBC610,3
GPIO interrupt,3
AT91CAP9,3
CUBIC,3
ondemand governor,3
da903x,3
x270,3
M48T35,3
TQM85xx,3
vendor/product id,3
Activy,3
ALC662,3
WM8753,3
autosuspend support,3
945GME,3
latencytop,3
Trizeps4,3
Oprofile support,3
cryptomgr,3
message queues,3
AIO support,3
I/OAT,3
LED drivers,3
mfd Driver,3
bootparam,3
JMicron,3
SGI O2,3
HVR950Q,3
terratec,3
ICH9,3
SH7619,3
BAST,3
IDE driver,3
SH7760,3
ip6_tables,3
per-task-delay-accounting,3
POWERPC 83xx,3
memory hot-add,3
mach,3
RAPIDIO,3
mthca,3
virtual disk,3
MPEG encoder,3
Budget,3
xc3028,3
PXA270,3
Emagic,3
intel8x0,3
ieee80211,3
S2io,3
ehea,3
IDE devices,3
SGI Altix,3
Digi,3
clock framework,3
MPC8610,3
cpusets,3
drivers-edac,3
gpio expander,3
SH-2A,3
asus_acpi,3
SH7722,3
Dual Digital,3
qla4xxx,3
ICE1724,3
H8606,3
POWERPC PS3,3
82xx,3
Ebony,3
Walnut,3
generic GPIO support,3
TASK_UNINTERRUPTIBLE,3
Nova-T,3
hiddev,3
aic7xxx,3
aic94xx,3
PXA2xx,3
snd-ca0106,3
power-saving,3
skge,3
ns83820,3
IDE stack,3
sata_nv,3
MCP51,3
MCP61,3
AHCI driver,3
mtrr support,3
pm2fb,3
Amstrad Delta,3
Celleb,3
PKTGEN,3
FRTO,3
ATI SB700,3
HVR1300,3
Cx88,3
FC Transport,3
Uniwill,3
MCP77,3
s2io,3
Planex,3
AX88796,3
Anubis,3
M920x,3
FlyDVB-T,3
CP2101,3
eGalax,3
Quickcam,3
Generic BUG,3
msi support,3
VIA C7,3
platform_device,3
printer,3
Revolution 5.1,3
sigmatel,3
sata_sis,3
Mobile IPv6,3
Versatile platform,3
AMD Geode,3
AMD Geode GX,3
CDMA,3
nForce4,3
speedstep-centrino,3
encapsulation family,3
PPTP,3
H.323,3
serial touchscreens,3
eject,3
VT8251,3
ipw2100,3
network statistics,3
2.6.19,3
Xserve,3
DNTV Live!,3
pwc driver,3
pcHDTV,3
i945G,3
ATI IXP400,3
getpeersec,3
HP300,3
Compaq,3
ALC880 codec,3
Aureon,3
pl2303 driver,3
ftdi_sio driver,3
r300,3
external modules,3
Audigy2,3
Apple Powerbooks,3
Powerbooks,3
powermac,3
shared mount handling,3
dibusb,3
nxt2002,3
yenta,3
sh64,3
MPC8555,3
readv,3
writev,3
VIA82xx,3
PXA Corgi,3
hotplug environment,3
PowerMac G5,3
touch driver,2
8BitDo,2
multi endpoint support,2
multi endpoint,2
Genio,2
6.12,2
rt1320,2
RME Babyface Pro,2
Babyface Pro,2
MIDI 1.0,2
HP Spectre x360,2
8852BE,2
USB 3,2
RTL8822CU,2
multiple adapters,2
USB RX aggregation,2
8822b,2
MKEY,2
set mac address,2
vdpa tool,2
multi-channel support,2
Memory Scheme,2
Scheme,2
cross timestamping,2
high pages,2
QSFP+,2
one-shot mode,2
vhca,2
chanctx,2
RTL8852BT,2
microchip_t1,2
Cable Diagnostics,2
lan887x,2
subfunction,2
libeth,2
cpsw_ale,2
HW IDs,2
btintel_pcie,2
ISO data,2
GXLX,2
ks7010,2
host capabilities,2
CHAP,2
cooling devices,2
trip,2
testing facility,2
Windows 11,2
_OSI,2
_OSI string,2
ACPI/IORT,2
PMCG,2
Display Unit,2
Battlemage,2
hwconfig,2
st7701,2
Densitron,2
ILI9806E,2
speedbin,2
VBLANK,2
dw-mipi-dsi,2
gfx9,2
gpu_metrics,2
v14.0.2,2
v14.0.3,2
August,2
Randomize,2
lower bits,2
stack address,2
external interrupt controller,2
generic CPU vulnerabilities,2
ARCH_HAS_SET_DIRECT_MAP,2
Binary Translation,2
pkeys,2
XSAVE,2
core files,2
kernel parameters,2
Arrow Lake support,2
dell-laptop,2
fan support,2
Smart PC,2
Solution,2
notifying,2
vDSO implementation,2
Query Authentication Information,2
MSA 10,2
MSA 11,2
polarization,2
hiperdispatch,2
capacities,2
HiSilicon PCIe PMU,2
BBM/MISC,2
i.MX95 SCMI,2
i.MX95 SCMI BBM/MISC Extension,2
Extenstion,2
QUICC Engine,2
OSM-S,2
Gen 6,2
GameForce,2
FriendlyELEC,2
PTP_SYS_OFFSET_EXTENDED,2
Tegra241,2
protected guest,2
Permission,2
TLB invalidation,2
arm64 kernel,2
9pfs,2
fib_rules,2
per-action,2
TCPv6,2
netdev_queue,2
devmem,2
kernel buffers,2
scoping,2
Module stacking,2
stacking,2
queue information,2
augmentation,2
addr2line,2
bpf-filter,2
term,2
bpf_kptr_xchg,2
comp,2
swap allocation,2
page flags,2
numa_memblks,2
memblks,2
per-arch,2
collapsing,2
vma_merge,2
shadow stack,2
MAP_FIXED,2
hugetlb_vmemmap,2
histogram buffer,2
Kernel stack,2
zoneinfo,2
NUMA policy,2
kmem_cache_create,2
compressed inodes,2
fileio,2
supplementary groups,2
QNX6,2
qnx6,2
O_PATH,2
parallel DIO reads,2
sanitizer,2
KCFI support,2
compression options,2
build ID,2
sched_ext,2
fast-path,2
low priority tasks,2
higher priority tasks,2
server infrastructure,2
Console work,2
nbcon,2
boot argument,2
absolute mode,2
PROFILE,2
registered buffers,2
incremental,2
read operation,2
isolated CPUs,2
O_EXCL,2
hwrng driver,2
broadcast address,2
Renesas RZ/G3S,2
qmp-pcie,2
HDMI TX PHY,2
spi-nand,2
n25q064a,2
Sophgo SG2042,2
boost regulator,2
axp20x_battery,2
AXP717 boost,2
USB Supply,2
Supply,2
audiomix,2
lane margining,2
pwrctl,2
Native,2
Xilinx XDMA,2
Soft IP,2
dpdma,2
dma mode,2
pl08x,2
LPC32XX,2
pca995x,2
keypad controller,2
duty cycle,2
max1619,2
riic,2
rk8xx,2
sensor family,2
adf4377,2
LIGHT,2
CV18XX,2
Sophgo CV18XX,2
CV18XX series,2
ad7380,2
ad4695,2
CV1800,2
og01a1b,2
touchrings,2
TUXEDO,2
Slim,2
Gen6,2
quirk table,2
EMA AP,2
6 GHz band,2
pdev,2
htt_stats,2
Byte Queue Limits,2
dim profile,2
fine-tuning,2
MeiG Smart SRM825L,2
SRM825L,2
tn40xx,2
SR1.0,2
AM65x SR1.0,2
switch mode,2
icssg-prueth,2
ethqos,2
ride,2
2.5Gbps PHY,2
ucast,2
LAN7801,2
E825C,2
get_channel,2
qca8084,2
ethernet phy,2
vsc73xx usable,2
RDMA/efa,2
Multi-plane,2
Multi-plane support,2
InfiniBand,2
draining,2
system resume,2
AW693,2
vendor-specific,2
iopolicy,2
Connector,2
helper infrastructure,2
panel-mipi-dbi,2
XLCDC,2
sam9x7,2
sam9x7 SoC,2
Counters,2
6.10,2
a750,2
Indirect,2
Relay,2
Early Transport,2
link retrain,2
retrain,2
link training,2
link rate,2
lane count,2
Panel replay,2
selective,2
PM policy,2
Microtips Technology,2
himax-hx83102,2
SYSCTL,2
WARN,2
gettimeofday(),2
clock_gettime(),2
vDSO functions,2
emulation mode,2
i386 support,2
pcap driver,2
pcap,2
time-travel,2
stub syscall,2
page table handling,2
ARCH_HAS_DEBUG_VM_PGTABLE,2
PGTABLE,2
PV steal time,2
guest side,2
hardware register,2
S3 support,2
DEVMAP,2
RELR,2
relocating,2
Loongson-3 CPUFreq,2
Loongson-3 CPUFreq driver,2
RANDOMIZE_KSTACK_OFFSET,2
KSTACK,2
arena,2
HAVE_ARCH_STACKLEAK,2
BeagleV,2
pseries guests,2
book3s,2
memory maps,2
core PMU,2
X86 crypto,2
driver_override,2
platform_profile,2
platform dell,2
auxiliary driver,2
performance limits,2
vAPIC,2
Hypervisor Support,2
return probe,2
kCFI,2
FPSIMD,2
SSBS,2
gcc plugin,2
Omnia,2
ARM platform,2
LAN966x,2
virtual cpu,2
Lyra,2
sdm450,2
TQMa8MPQL,2
DHCOR,2
ZERO,2
OSMC,2
Vero,2
clearfog boards,2
sm8650,2
Schneider,2
Wireless router,2
AIM300,2
AIoT,2
AIM300 AIoT,2
I/O devices,2
data paths,2
YAML,2
UDP_SEGMENT,2
SEGMENT,2
memory limits,2
guest_memfd,2
BPF filters,2
fuzzy,2
perf sched map,2
detached,2
detach,2
Octeon CN10K,2
Bus Bandwidth,2
SDM450,2
StarLink,2
Google Tensor gs101,2
PCIe PHY driver,2
TH1520,2
A702,2
Peripheral clock,2
sequences,2
power-up,2
R-Car Gen4 PCIe,2
EP PCIe,2
SA8775P,2
indicator LED,2
ChromeOS Embedded Controller,2
GPIO API,2
Series 2023,2
max6639,2
max31827,2
PEC support,2
PWM generator,2
88PM886,2
Marvell 88PM886,2
Marvell 88PM886 PMIC,2
Auxiliary ADC,2
BD96801,2
Scalable PMIC,2
ROHM BD96801,2
Vishay,2
bosch,2
si7020,2
heater,2
mount-matrix,2
slew-rate,2
slew,2
fuel,2
charge control,2
Balance,2
gc2145,2
GMSL2,2
Media Data Path 3,2
magic keyboard,2
Gen 4,2
exc3000,2
Imagis,2
FocalTech,2
rt1318,2
RT1318,2
display port,2
mute LED,2
HP Laptop,2
Positivo,2
platform keyring,2
Rust block device driver API,2
null block driver,2
atomic writes,2
tools/mm,2
swap entry,2
refault,2
purging,2
anonymous shmem,2
hugetlb_cgroup,2
per-order,2
mpol,2
vm_insert_page,2
probabilistic defense,2
heap spraying,2
spraying,2
RANDOM,2
in-tree usage,2
MAP_DENYWRITE,2
fileattr,2
ntfs3,2
LAYOUTGET,2
fast devices,2
rcu-based inode lookup,2
inode lookup,2
iget*,2
delayed extent,2
corner case,2
corner,2
deleted subvolumes,2
null block,2
Failure,2
cpuset.cpus,2
BIND,2
AT_EMPTY_PATH,2
pidfs,2
listmount(),2
listmount,2
statmount,2
iterating,2
PFSM,2
timer events,2
STM32 Firewall framework,2
STM32 Firewall,2
accel/qaic,2
HSI2,2
UFS phy,2
GS101,2
qcom-qmp-ufs,2
SM8475,2
SMB2360,2
clk-rcg2,2
rcg2,2
Tegra Security Engine,2
Security Engine,2
dmac,2
qcom-lpg,2
PMI8950,2
simatic-ipc-leds-gpio,2
Granite Rapids-D,2
flow sensor,2
pulses,2
emc1403,2
Renesas RZ/V2H,2
Renesas RZ/V2H SoC,2
I2C SMBus,2
X-Powers AXP717,2
X-Powers AXP717 PMIC,2
hdc3020,2
ltc2983,2
max30102,2
3-wire mode,2
pincontrol protocol,2
pca9451a,2
pmic pca9451a,2
MT7988A,2
serial cards,2
nmi watchdog,2
interrupt storm,2
uss720,2
OV4689,2
TD310,2
RAIKIRI,2
ASUS ROG RAIKIRI,2
HID-BPF,2
davinci-i2s,2
A64 SoC,2
boot state,2
nau8325,2
Thinkbook 16P,2
clock source selection,2
beacon miss,2
spectrum management,2
mt7921e,2
RTL8723CS,2
8922AE,2
materials,2
mirred,2
Lonsung,2
U8300,2
U9300,2
PFCP filter,2
PFCP,2
KSZ switches,2
am65,2
PTP packets,2
CPTS,2
Power over Ethernet,2
MediaTek MT7922,2
board id,2
downloading,2
driver-specific,2
rdmatool,2
E830,2
hardware timestamp,2
AEST,2
component events,2
Thermal Sensor,2
loongson2,2
B120XAN01.0,2
N116BCA-EA1,2
TS050,2
Startek,2
infra,2
state management,2
DG2 platform,2
SMU 14.0,2
tc358775,2
tc358765,2
vfio-ap,2
automation,2
operating speed,2
ISA extension,2
JITs,2
BPF Arena,2
Arena,2
IOPF,2
On Demand,2
SST-BF,2
swnode,2
bpf_arena,2
SEAM,2
position-independent,2
multiplication overflow,2
kfunc call,2
DEXCR,2
Aspire 1,2
Acer Aspire 1,2
Units,2
Facebook Cloudripper,2
Cloudripper,2
thermal camera,2
Samsung Galaxy S5,2
China,2
Forlinx,2
build target,2
color change,2
port function attribute,2
non-init user namespaces,2
Accept,2
small packets,2
reset reason,2
TEE driver,2
STATS,2
networking devices,2
vfio_pci,2
SR-IOV VF,2
vmgenid,2
BPF cookie,2
mce_record,2
program stats,2
bpf_fib_lookup,2
PROG,2
SYSCALL,2
capstone,2
sk_msg,2
UFSHCI,2
SECURE,2
plugging,2
io_ticks,2
account,2
debug file,2
xarray,2
numa balancing,2
mm counter,2
wr-protect,2
page granularity,2
recompression,2
callsite,2
isofs,2
buffer pool,2
cephx,2
client side,2
found,2
atomic_open,2
sample test,2
extent maps,2
cross-architecture,2
note,2
synchronize,2
mmapped,2
linkat,2
DSP support,2
hardware clock,2
dtpm,2
Amlogic-T7 SoCs,2
dfl-pci,2
D5005,2
Intel D5005,2
lock status,2
linedisp,2
Address Translation Library,2
Combo PHY,2
High Speed,2
Realtek RTD,2
Realtek RTD SoC,2
bandwidth allocation mode,2
bandwidth allocation,2
LUT PPG,2
Kinetic ExpressWire,2
ExpressWire,2
KTD2801,2
serial number,2
tach,2
LTC4282,2
coolers,2
pca954x,2
mxc4005,2
Power Monitor,2
Instrumentation,2
bmi323,2
mprls0025pa,2
color temperature,2
as73211,2
light color temperature,2
rtq6056,2
Carillo Ranch,2
strap,2
stm32_fmc2,2
Expander,2
GPIO Expander,2
devm,2
maximum frequency,2
fraction,2
Burst Mode,2
Burst Mode Support,2
stm32mp25,2
Oriole,2
import interface,2
alt mode,2
Alternate Mode,2
Alternate,2
authorization,2
csi2rx,2
IPU bridge,2
test pattern generator,2
GREY format,2
GREY,2
Berlin,2
touch key,2
IQS7222D,2
rt722,2
CS35L54,2
CS35L57,2
DSPless mode,2
DSPless,2
QMC HDLC framer infrastructure,2
ES8326,2
kcontrols,2
HP Envy,2
qca808x,2
H2C commands,2
switch support,2
LPI SP,2
concurrent mode,2
8188f,2
board-2.bin,2
vdev,2
common module,2
Package,2
concept,2
Ntuple,2
GbEthernet,2
networking support,2
conformance,2
header split,2
pull-request,2
ASP 2.2,2
Amethyst,2
set_channel,2
pds_core,2
CAN interface,2
nexthop group statistics,2
TL-WN823N,2
firmware-2.bin,2
TCP flags,2
dp83826,2
dsa aquantia,2
mlxbf_gige,2
EMMA,2
UFS driver,2
efuse access,2
rcar_gen3,2
aperf,2
mperf,2
aperf/mperf,2
LZ4 compression,2
power model,2
power usage,2
task placement,2
feature set,2
Fairphone 4,2
14.0,2
edp-panel,2
controller family,2
disco,2
NT36672E,2
Novatek NT36672E,2
GuC submission,2
Panel Rotation,2
Panel Rotation Support,2
HAVE_ARCH,2
dynamic debugging,2
memmap on memory,2
RISC-V AIA,2
Power11,2
architected,2
topology evaluation,2
platform acer-wmi,2
part 3,2
FMPM,2
Exceptions,2
BPF prog pack allocator,2
UFS support,2
CSI2RX,2
Transparent Contiguous PTEs,2
User Mappings,2
IO memory,2
IMX219,2
Acelink EW-7886CAX,2
Acelink,2
EW-7886CAX,2
stm32-fmc2-ebi,2
fmc2,2
FMC2,2
apalis,2
eval,2
iot2050,2
Snapdragon 8 Gen 2,2
8 Gen 2,2
Genio 1200,2
Mediatek MT8186,2
S905X2,2
Amlogic Meson G12A,2
White Hawk,2
White,2
Single,2
wireless routers,2
TCP_NOTSENT_LOWAT,2
devconf,2
ioam6,2
multi-buff,2
peek,2
stall detector,2
Bare UDP L3 Encapsulation Module,2
vfio pci,2
virtio-block,2
stream ID,2
BPF FS,2
global subprogs,2
BPF object,2
buffered write,2
DM target,2
ublk device,2
auto-tune,2
tame,2
hugetlb page,2
parallelize,2
per-vma,2
proactive reclaim,2
PTE-mapped THP,2
moves,2
huge_memory,2
batch size,2
QNX4,2
password,2
filesystem events,2
FAULT,2
i_mmap,2
boot time parameter,2
panic_print,2
file_lock,2
minimum supported version,2
unbound workqueues,2
expiry,2
ipc namespace,2
pidfd_open,2
busy poll,2
ftruncate,2
sysfs path,2
WPSS,2
under-voltage events,2
under-voltage,2
rts5264,2
arrow lake,2
arrow,2
point S,2
IVSC device,2
mtk-cmdq,2
i3c master,2
fractional frequency offset,2
frequency offset,2
cdx device,2
timesync,2
module id,2
Qualcomm SDX75,2
sysfs_added,2
CN10KB,2
Analytics Accelerator,2
crypto compression driver,2
tegra210-adma,2
dma-channel-mask,2
aw200xx,2
sgpio,2
Realtek DHC RTD,2
npcm750,2
sts3x,2
XPS 15,2
Dell XPS 15,2
register view,2
thermocouple,2
output enable,2
netlink event,2
dynamic allocation,2
major number,2
uart ports,2
s3c2410_wdt,2
mt7988,2
multi-cs,2
SPI core,2
FM101-GL,2
Fibocom FM101-GL,2
QUIRK,2
visl,2
v4l2-common,2
camera interface,2
ov2740,2
format support,2
ak7375,2
Techwell,2
iqs269a,2
Legion,2
4 channel support,2
mpc8610_hpcd,2
MAX98388,2
ASoC IPC,2
soc-acpi-intel-tgl-match,2
Upgrade,2
Error Handling,2
relatek,2
mic boost,2
HP ZBook,2
wl3501,2
ray_cs,2
cisco,2
wangxun,2
XGMAC Core,2
ndo_hwtstamp_get,2
ndo_hwtstamp_set,2
ndo_hwtstamp,2
7 chips,2
RTL8192EU,2
RTL8168,2
Fast Link Down,2
SO_TIMESTAMPING,2
flow-steering,2
mvmdio,2
TX statistics,2
EHT mode,2
flood mode,2
SW encap ICM,2
v5.5,2
Wired,2
symmetric-xor,2
frame preemption,2
dram,2
hns RoCE,2
GenP7,2
GenP7 adapters,2
StarFive Camera Subsystem,2
error logging,2
RAID controller,2
virtio_scsi,2
power info,2
dynamically configurable,2
BSEC,2
OTP data,2
amba,2
simplefb,2
page-flip,2
usage stats,2
AM62A7,2
VOP2,2
vop2,2
NV20,2
NV30,2
nv3052c,2
RK2023,2
Powkiddy RK2023,2
panel ilitek-ili9881c,2
himax-hx8394,2
hx8394,2
Powkiddy X55,2
dynamic job-flow control,2
job-flow,2
relationship,2
hw revision,2
DisplayPort controller,2
PowerVR,2
GFXOFF,2
Deadline awareness,2
Deadline,2
uabi,2
uabi edition,2
MICROBLAZE,2
LASX,2
64-bit pointers,2
ASID,2
DebugSwap,2
Zen 4,2
Yoga Tab 3 Pro,2
Predator,2
Lunar Lake M,2
intel_pmc_core driver,2
Meteorlake,2
C9xx,2
ACCESS,2
UNMAP,2
steal,2
MT8195 SoC,2
fsl_imx8_ddr,2
PORT,2
i.MX8DXL,2
core PMU events,2
user configurable,2
trbe,2
cycle count,2
kernel mode,2
k3-am65,2
mallow,2
rk3588s,2
SKOV,2
revB,2
h616,2
Neoverse N2,2
Theobroma,2
Jaguar,2
TI AM62,2
Mediatek MT8183,2
mobile gaming systems,2
Anbernic RG351V,2
RG351V,2
phone SoC,2
automotive chip,2
Cortex-A78AE,2
A78AE,2
pmksa,2
MDB bulk deletion,2
bulk deletion,2
ephemeral ports,2
Associations,2
Stateless,2
mibs,2
concurrent connections,2
64-bit systems,2
SECURITY,2
solutions,2
current process,2
no-reset,2
virtio devices,2
perf archive,2
DSOs,2
bpfilter,2
BPF verifier,2
holder,2
read error,2
partial slabs,2
memory.high,2
dying tasks,2
overhaul,2
opt-in feature,2
callback handling,2
repairs,2
EAGAIN,2
fixed number of times,2
MS-SMB2,2
FSCK,2
ONLINE,2
fast paths,2
vma scanning,2
Task scheduler fair,2
CPU-bound workloads,2
config fragment,2
CPU isolation,2
mountinfo,2
cpufreq scaling,2
Intel 8254,2
ADT7490,2
summation,2
Kionix,2
adis16475,2
ADC family,2
mpq7932,2
Power Management IC,2
wear,2
Ampere Altra,2
Attention,2
Indicator,2
SC8380XP,2
PM8909,2
IT8613,2
cros-ec-cec,2
onsemi,2
rtl8192u,2
serial devices,2
break control,2
port mapping,2
dwc3 glue layer,2
reset-controller,2
redriver,2
xhci-pci,2
LJCA,2
Intel LJCA,2
FSA4480,2
USB4 v2,2
Harden,2
soundcard,2
Clarett+,2
2Pre,2
4Pre,2
RISC-V SoC,2
mt6366,2
hdac_hda,2
AHCI controller,2
TX descriptor,2
PTP TX,2
TX timestamping,2
setting up,2
software timestamp,2
CHACHA20-POLY1305,2
CHACHA20,2
POLY1305,2
E823,2
lport,2
rx-fcs,2
fault detect,2
scan complete,2
MT7620,2
EHT mesh,2
record doorbell,2
infiniband,2
DG2-G12,2
display panel,2
Mitsubishi,2
device link,2
NV15,2
fdinfo support,2
NV12 format,2
combine,2
physical id,2
multimedia,2
copy engine,2
DT support,2
misaligned,2
Milk-V,2
RISC-V board,2
log buffer,2
HWCR,2
VCPUs,2
TDX guests,2
bit 1,2
late loading,2
Cleanup,2
qcom-geni,2
repo,2
Arm telemetry repo,2
telemetry repo,2
Turing,2
plus,2
newer revisions,2
embedded SoC,2
memory region,2
speed support,2
SHARED,2
command line options,2
devlink instances,2
BPF link support,2
data-races,2
integers,2
eventfs,2
shell,2
kwork,2
ring_buffer,2
symbol versioning,2
versioning,2
sanity,2
sockaddr,2
iotlb,2
ioeventfd,2
irqfd,2
FIPS 202,2
Jitter,2
Attestation,2
configfs interface,2
restricting,2
Kconfig fragments,2
queue_rqs,2
re-exporting,2
/proc/fs/nfsd,2
write delegation,2
read IO,2
lowerdir,2
tcon,2
Cleanups,2
physical mapping,2
zoned mode,2
RAID56,2
mkfs time,2
folio conversion,2
memcg accounting,2
Per-CPU,2
candidate,2
memory tiering,2
HMAT,2
ACPI HMAT,2
micro-benchmark,2
modpost,2
linear search,2
binary search,2
remote partitions,2
exclusive CPUs,2
waitid(2),2
/dev/zero,2
binfmt_misc,2
MDWE,2
file cache,2
call_rcu,2
call_rcu(),2
type4,2
HW RNG,2
Additional Write lockable page,2
Write lockable page,2
Additional Write lockable page support,2
Macro,2
Type-C driver,2
llcc,2
QDU1000/QRU1000,2
bus mastering,2
mastering,2
IO page table,2
dirty bits,2
DMA activities,2
SMMUv2,2
consumers,2
Module 4,2
LITE,2
compensation,2
IRS-D200,2
Murata IRS-D200,2
dimmtemp,2
mp2975,2
DIMMs,2
power on reason,2
power on,2
